Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=50, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 6.4837 	 FL_acc 10.0060 	 Test images 10000
Best FL accuracy: 44.1606559753418 on round 50
Defense Method:  none
Finished computations with time: 0:13:33.190678

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=100, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.3878 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.5720 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 3.0804 	 FL_acc 10.0661 	 Test images 10000
Round 004 	 FL_loss 2.9770 	 FL_acc 10.4367 	 Test images 10000
Round 005 	 FL_loss 2.7423 	 FL_acc 20.0721 	 Test images 10000
Round 006 	 FL_loss 3.0653 	 FL_acc 10.0361 	 Test images 10000
Round 007 	 FL_loss 3.6404 	 FL_acc 10.0060 	 Test images 10000
Round 008 	 FL_loss 2.7875 	 FL_acc 11.5585 	 Test images 10000
Round 009 	 FL_loss 3.4860 	 FL_acc 11.9291 	 Test images 10000
Round 010 	 FL_loss 3.0007 	 FL_acc 10.1162 	 Test images 10000
Round 011 	 FL_loss 2.9535 	 FL_acc 13.7821 	 Test images 10000
Round 012 	 FL_loss 2.8784 	 FL_acc 11.6687 	 Test images 10000
Round 013 	 FL_loss 2.8114 	 FL_acc 20.4327 	 Test images 10000
Round 014 	 FL_loss 2.7127 	 FL_acc 11.9892 	 Test images 10000
Round 015 	 FL_loss 3.0884 	 FL_acc 18.1891 	 Test images 10000
Round 016 	 FL_loss 2.7987 	 FL_acc 14.9239 	 Test images 10000
Round 017 	 FL_loss 2.9637 	 FL_acc 21.2941 	 Test images 10000
Round 018 	 FL_loss 2.8487 	 FL_acc 15.0741 	 Test images 10000
Round 019 	 FL_loss 2.8406 	 FL_acc 23.6378 	 Test images 10000
Round 020 	 FL_loss 2.8899 	 FL_acc 15.6651 	 Test images 10000
Round 021 	 FL_loss 2.9909 	 FL_acc 22.6162 	 Test images 10000
Round 022 	 FL_loss 2.7115 	 FL_acc 16.5465 	 Test images 10000
Round 023 	 FL_loss 2.8342 	 FL_acc 24.2488 	 Test images 10000
Round 024 	 FL_loss 2.7038 	 FL_acc 21.1839 	 Test images 10000
Round 025 	 FL_loss 2.8275 	 FL_acc 25.7512 	 Test images 10000
Round 026 	 FL_loss 2.7319 	 FL_acc 21.0036 	 Test images 10000
Round 027 	 FL_loss 2.7077 	 FL_acc 29.3269 	 Test images 10000
Round 028 	 FL_loss 2.7652 	 FL_acc 23.1871 	 Test images 10000
Round 029 	 FL_loss 2.7668 	 FL_acc 29.6575 	 Test images 10000
Round 030 	 FL_loss 2.3667 	 FL_acc 39.4431 	 Test images 10000
Round 031 	 FL_loss 2.5344 	 FL_acc 39.5032 	 Test images 10000
Round 032 	 FL_loss 2.5735 	 FL_acc 40.5148 	 Test images 10000
Round 033 	 FL_loss 2.6249 	 FL_acc 40.7752 	 Test images 10000
Round 034 	 FL_loss 2.6236 	 FL_acc 41.3061 	 Test images 10000
Round 035 	 FL_loss 2.6315 	 FL_acc 41.8369 	 Test images 10000
Round 036 	 FL_loss 2.6439 	 FL_acc 41.3962 	 Test images 10000
Round 037 	 FL_loss 2.6754 	 FL_acc 41.5365 	 Test images 10000
Round 038 	 FL_loss 2.6815 	 FL_acc 41.9872 	 Test images 10000
Round 039 	 FL_loss 2.6947 	 FL_acc 41.7969 	 Test images 10000
Round 040 	 FL_loss 2.7152 	 FL_acc 42.3678 	 Test images 10000
Round 041 	 FL_loss 2.7083 	 FL_acc 42.1875 	 Test images 10000
Round 042 	 FL_loss 2.7304 	 FL_acc 42.1875 	 Test images 10000
Round 043 	 FL_loss 2.7272 	 FL_acc 42.8886 	 Test images 10000
Round 044 	 FL_loss 2.7617 	 FL_acc 42.4980 	 Test images 10000
Round 045 	 FL_loss 2.7645 	 FL_acc 42.8085 	 Test images 10000
Round 046 	 FL_loss 2.7648 	 FL_acc 42.9788 	 Test images 10000
Round 047 	 FL_loss 2.7937 	 FL_acc 42.6883 	 Test images 10000
Round 048 	 FL_loss 2.7825 	 FL_acc 43.2392 	 Test images 10000
Round 049 	 FL_loss 2.7816 	 FL_acc 43.6699 	 Test images 10000
Round 050 	 FL_loss 2.8059 	 FL_acc 43.5296 	 Test images 10000
Round 051 	 FL_loss 2.8253 	 FL_acc 43.6999 	 Test images 10000
Round 052 	 FL_loss 2.8092 	 FL_acc 43.8902 	 Test images 10000
Round 053 	 FL_loss 2.8398 	 FL_acc 43.7600 	 Test images 10000
Round 054 	 FL_loss 2.8016 	 FL_acc 44.5012 	 Test images 10000
Round 055 	 FL_loss 2.8290 	 FL_acc 44.4812 	 Test images 10000
Round 056 	 FL_loss 2.8507 	 FL_acc 44.3209 	 Test images 10000
Round 057 	 FL_loss 2.8630 	 FL_acc 44.5112 	 Test images 10000
Round 058 	 FL_loss 2.8628 	 FL_acc 44.6214 	 Test images 10000
Round 059 	 FL_loss 2.8708 	 FL_acc 44.6715 	 Test images 10000
Round 060 	 FL_loss 2.8837 	 FL_acc 44.9119 	 Test images 10000
Round 061 	 FL_loss 2.8978 	 FL_acc 44.8618 	 Test images 10000
Round 062 	 FL_loss 2.9177 	 FL_acc 44.7516 	 Test images 10000
Round 063 	 FL_loss 2.8922 	 FL_acc 45.0521 	 Test images 10000
Round 064 	 FL_loss 2.8899 	 FL_acc 45.5829 	 Test images 10000
Round 065 	 FL_loss 2.9410 	 FL_acc 45.0220 	 Test images 10000
Round 066 	 FL_loss 2.9212 	 FL_acc 45.4627 	 Test images 10000
Round 067 	 FL_loss 2.9226 	 FL_acc 45.1623 	 Test images 10000
Round 068 	 FL_loss 2.9520 	 FL_acc 45.2023 	 Test images 10000
Round 069 	 FL_loss 2.9307 	 FL_acc 45.4127 	 Test images 10000
Round 070 	 FL_loss 2.9443 	 FL_acc 45.5429 	 Test images 10000
Round 071 	 FL_loss 2.9703 	 FL_acc 45.3826 	 Test images 10000
Round 072 	 FL_loss 2.9875 	 FL_acc 45.4828 	 Test images 10000
Round 073 	 FL_loss 2.9696 	 FL_acc 45.7632 	 Test images 10000
Round 074 	 FL_loss 2.9653 	 FL_acc 45.6831 	 Test images 10000
Round 075 	 FL_loss 2.9770 	 FL_acc 46.1138 	 Test images 10000
Round 076 	 FL_loss 3.0026 	 FL_acc 45.5729 	 Test images 10000
Round 077 	 FL_loss 2.9842 	 FL_acc 46.0236 	 Test images 10000
Round 078 	 FL_loss 2.9852 	 FL_acc 46.2540 	 Test images 10000
Round 079 	 FL_loss 3.0059 	 FL_acc 46.0337 	 Test images 10000
Round 080 	 FL_loss 2.9966 	 FL_acc 46.1839 	 Test images 10000
Round 081 	 FL_loss 3.0013 	 FL_acc 46.1739 	 Test images 10000
Round 082 	 FL_loss 2.9967 	 FL_acc 46.6747 	 Test images 10000
Round 083 	 FL_loss 3.0111 	 FL_acc 46.3942 	 Test images 10000
Round 084 	 FL_loss 3.0454 	 FL_acc 45.8734 	 Test images 10000
Round 085 	 FL_loss 2.9942 	 FL_acc 46.9151 	 Test images 10000
Round 086 	 FL_loss 3.0179 	 FL_acc 46.3842 	 Test images 10000
Round 087 	 FL_loss 3.0267 	 FL_acc 46.6747 	 Test images 10000
Round 088 	 FL_loss 3.0432 	 FL_acc 46.2540 	 Test images 10000
Round 089 	 FL_loss 3.0588 	 FL_acc 46.1839 	 Test images 10000
Round 090 	 FL_loss 3.0499 	 FL_acc 46.2740 	 Test images 10000
Round 091 	 FL_loss 3.0274 	 FL_acc 46.6747 	 Test images 10000
Round 092 	 FL_loss 3.0443 	 FL_acc 46.4643 	 Test images 10000
Round 093 	 FL_loss 3.0566 	 FL_acc 46.3742 	 Test images 10000
Round 094 	 FL_loss 3.0618 	 FL_acc 46.4243 	 Test images 10000
Round 095 	 FL_loss 3.0750 	 FL_acc 46.4042 	 Test images 10000
Round 096 	 FL_loss 3.0609 	 FL_acc 46.7448 	 Test images 10000
Round 097 	 FL_loss 3.0887 	 FL_acc 46.5545 	 Test images 10000
Round 098 	 FL_loss 3.0460 	 FL_acc 47.1855 	 Test images 10000
Round 099 	 FL_loss 3.0892 	 FL_acc 46.3942 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 3.0917 	 FL_acc 46.4643 	 Test images 10000
Best FL accuracy: 47.18549728393555 on round 98
Defense Method:  none
Finished computations with time: 0:23:26.384884

Namespace(seed=42, output_dir='./logs', cnt=1, method='non-iid', TotalDevNum=10, pretrained=False, dataset='CIFAR10', resume=False, ckp_path='./weights/model_round_100.pth', defense='none', precode_size=256, beta=0.001, aug_list='21-13-3+7-4-15', minfit=10, mineval=10, minavl=10, num_rounds=100, save_rnd=100, train_lr=0.01, local_epochs=1, device_id=-1)
Currently evaluating -------------------------------:
CPUs: 24, GPUs: 1 on ubuntu.
GPU : NVIDIA GeForce RTX 4090
cuda
Round 001 	 FL_loss 3.6477 	 FL_acc 10.0060 	 Test images 10000
Round 002 	 FL_loss 3.5704 	 FL_acc 9.9860 	 Test images 10000
Round 003 	 FL_loss 3.2919 	 FL_acc 10.0160 	 Test images 10000
Round 004 	 FL_loss 3.0940 	 FL_acc 10.0361 	 Test images 10000
Round 005 	 FL_loss 3.0819 	 FL_acc 10.8674 	 Test images 10000
Round 006 	 FL_loss 3.2511 	 FL_acc 10.1863 	 Test images 10000
Round 007 	 FL_loss 3.5981 	 FL_acc 10.0361 	 Test images 10000
Round 008 	 FL_loss 2.9963 	 FL_acc 10.3566 	 Test images 10000
Round 009 	 FL_loss 3.3547 	 FL_acc 12.5300 	 Test images 10000
Round 010 	 FL_loss 3.0109 	 FL_acc 10.2464 	 Test images 10000
Round 011 	 FL_loss 3.1505 	 FL_acc 12.8305 	 Test images 10000
Round 012 	 FL_loss 3.0112 	 FL_acc 10.9876 	 Test images 10000
Round 013 	 FL_loss 2.9756 	 FL_acc 17.5381 	 Test images 10000
Round 014 	 FL_loss 2.8671 	 FL_acc 11.4884 	 Test images 10000
Round 015 	 FL_loss 3.1243 	 FL_acc 18.5497 	 Test images 10000
Round 016 	 FL_loss 2.9838 	 FL_acc 12.9607 	 Test images 10000
Round 017 	 FL_loss 3.0304 	 FL_acc 21.4744 	 Test images 10000
Round 018 	 FL_loss 2.9634 	 FL_acc 13.6218 	 Test images 10000
Round 019 	 FL_loss 2.9455 	 FL_acc 25.0701 	 Test images 10000
Round 020 	 FL_loss 3.0926 	 FL_acc 15.1342 	 Test images 10000
Round 021 	 FL_loss 3.1126 	 FL_acc 25.6110 	 Test images 10000
Round 022 	 FL_loss 2.9407 	 FL_acc 15.4647 	 Test images 10000
Round 023 	 FL_loss 2.9929 	 FL_acc 25.9315 	 Test images 10000
Round 024 	 FL_loss 2.9096 	 FL_acc 21.0637 	 Test images 10000
Round 025 	 FL_loss 3.0466 	 FL_acc 26.8029 	 Test images 10000
Round 026 	 FL_loss 2.8985 	 FL_acc 19.8918 	 Test images 10000
Round 027 	 FL_loss 3.0134 	 FL_acc 28.1150 	 Test images 10000
Round 028 	 FL_loss 3.0387 	 FL_acc 22.1755 	 Test images 10000
Round 029 	 FL_loss 2.8677 	 FL_acc 31.7007 	 Test images 10000
Round 030 	 FL_loss 2.3001 	 FL_acc 40.9856 	 Test images 10000
Round 031 	 FL_loss 2.4202 	 FL_acc 40.9255 	 Test images 10000
Round 032 	 FL_loss 2.4570 	 FL_acc 41.4463 	 Test images 10000
Round 033 	 FL_loss 2.4910 	 FL_acc 41.9471 	 Test images 10000
Round 034 	 FL_loss 2.5106 	 FL_acc 42.1174 	 Test images 10000
Round 035 	 FL_loss 2.5387 	 FL_acc 42.6082 	 Test images 10000
Round 036 	 FL_loss 2.5476 	 FL_acc 42.4679 	 Test images 10000
Round 037 	 FL_loss 2.5846 	 FL_acc 42.7784 	 Test images 10000
Round 038 	 FL_loss 2.6021 	 FL_acc 42.6683 	 Test images 10000
Round 039 	 FL_loss 2.6149 	 FL_acc 42.9788 	 Test images 10000
Round 040 	 FL_loss 2.6444 	 FL_acc 43.0789 	 Test images 10000
Round 041 	 FL_loss 2.6547 	 FL_acc 43.1891 	 Test images 10000
Round 042 	 FL_loss 2.6788 	 FL_acc 43.4595 	 Test images 10000
Round 043 	 FL_loss 2.6910 	 FL_acc 43.5897 	 Test images 10000
Round 044 	 FL_loss 2.7220 	 FL_acc 43.4095 	 Test images 10000
Round 045 	 FL_loss 2.7331 	 FL_acc 43.6098 	 Test images 10000
Round 046 	 FL_loss 2.7313 	 FL_acc 43.6298 	 Test images 10000
Round 047 	 FL_loss 2.7732 	 FL_acc 43.9002 	 Test images 10000
Round 048 	 FL_loss 2.7642 	 FL_acc 44.0805 	 Test images 10000
Round 049 	 FL_loss 2.7872 	 FL_acc 44.3109 	 Test images 10000
Round 050 	 FL_loss 2.7890 	 FL_acc 44.5112 	 Test images 10000
Round 051 	 FL_loss 2.8157 	 FL_acc 44.4010 	 Test images 10000
Round 052 	 FL_loss 2.8402 	 FL_acc 44.4411 	 Test images 10000
Round 053 	 FL_loss 2.8424 	 FL_acc 44.5312 	 Test images 10000
Round 054 	 FL_loss 2.8219 	 FL_acc 45.1623 	 Test images 10000
Round 055 	 FL_loss 2.8638 	 FL_acc 45.1122 	 Test images 10000
Round 056 	 FL_loss 2.8879 	 FL_acc 44.9820 	 Test images 10000
Round 057 	 FL_loss 2.8872 	 FL_acc 45.0020 	 Test images 10000
Round 058 	 FL_loss 2.9103 	 FL_acc 45.1422 	 Test images 10000
Round 059 	 FL_loss 2.9137 	 FL_acc 45.4928 	 Test images 10000
Round 060 	 FL_loss 2.9298 	 FL_acc 45.3526 	 Test images 10000
Round 061 	 FL_loss 2.9368 	 FL_acc 45.3225 	 Test images 10000
Round 062 	 FL_loss 2.9502 	 FL_acc 45.7131 	 Test images 10000
Round 063 	 FL_loss 2.9608 	 FL_acc 45.6931 	 Test images 10000
Round 064 	 FL_loss 2.9670 	 FL_acc 45.7632 	 Test images 10000
Round 065 	 FL_loss 2.9921 	 FL_acc 45.5929 	 Test images 10000
Round 066 	 FL_loss 3.0084 	 FL_acc 45.4728 	 Test images 10000
Round 067 	 FL_loss 2.9865 	 FL_acc 46.1639 	 Test images 10000
Round 068 	 FL_loss 3.0235 	 FL_acc 45.4928 	 Test images 10000
Round 069 	 FL_loss 3.0041 	 FL_acc 46.0938 	 Test images 10000
Round 070 	 FL_loss 3.0358 	 FL_acc 45.7632 	 Test images 10000
Round 071 	 FL_loss 3.0571 	 FL_acc 45.7232 	 Test images 10000
Round 072 	 FL_loss 3.0724 	 FL_acc 45.7232 	 Test images 10000
Round 073 	 FL_loss 3.0497 	 FL_acc 46.0938 	 Test images 10000
Round 074 	 FL_loss 3.0540 	 FL_acc 46.0337 	 Test images 10000
Round 075 	 FL_loss 3.0520 	 FL_acc 46.4143 	 Test images 10000
Round 076 	 FL_loss 3.0942 	 FL_acc 46.0637 	 Test images 10000
Round 077 	 FL_loss 3.0695 	 FL_acc 46.1538 	 Test images 10000
Round 078 	 FL_loss 3.0864 	 FL_acc 46.1438 	 Test images 10000
Round 079 	 FL_loss 3.1151 	 FL_acc 46.1739 	 Test images 10000
Round 080 	 FL_loss 3.0736 	 FL_acc 46.4844 	 Test images 10000
Round 081 	 FL_loss 3.1150 	 FL_acc 46.3842 	 Test images 10000
Round 082 	 FL_loss 3.1248 	 FL_acc 46.2440 	 Test images 10000
Round 083 	 FL_loss 3.1104 	 FL_acc 46.6046 	 Test images 10000
Round 084 	 FL_loss 3.1361 	 FL_acc 46.4143 	 Test images 10000
Round 085 	 FL_loss 3.1280 	 FL_acc 46.8049 	 Test images 10000
Round 086 	 FL_loss 3.1182 	 FL_acc 46.6046 	 Test images 10000
Round 087 	 FL_loss 3.1322 	 FL_acc 46.5044 	 Test images 10000
Round 088 	 FL_loss 3.1469 	 FL_acc 46.4042 	 Test images 10000
Round 089 	 FL_loss 3.1577 	 FL_acc 46.5044 	 Test images 10000
Round 090 	 FL_loss 3.1564 	 FL_acc 46.3141 	 Test images 10000
Round 091 	 FL_loss 3.1382 	 FL_acc 46.8049 	 Test images 10000
Round 092 	 FL_loss 3.1656 	 FL_acc 46.5545 	 Test images 10000
Round 093 	 FL_loss 3.1797 	 FL_acc 46.6146 	 Test images 10000
Round 094 	 FL_loss 3.1781 	 FL_acc 46.5946 	 Test images 10000
Round 095 	 FL_loss 3.1842 	 FL_acc 46.3041 	 Test images 10000
Round 096 	 FL_loss 3.1718 	 FL_acc 46.7949 	 Test images 10000
Round 097 	 FL_loss 3.1786 	 FL_acc 46.7448 	 Test images 10000
Round 098 	 FL_loss 3.1662 	 FL_acc 46.8149 	 Test images 10000
Round 099 	 FL_loss 3.1786 	 FL_acc 46.8750 	 Test images 10000
Saving round 100 aggregated_parameters...
Round 100 	 FL_loss 3.1924 	 FL_acc 46.8450 	 Test images 10000
Best FL accuracy: 46.875 on round 99
Defense Method:  none
Finished computations with time: 0:26:21.859897

